"","settore","prova","tecnica","Esami"
"78","Controlli Interni Sistema Qualità","Escherichia coli beta glucuronidasi positivi","Microbiologica",11
"79","Controlli Interni Sistema Qualità","Lieviti","Microbiologica",2
"80","Controlli Interni Sistema Qualità","Listeria monocytogenes","Microbiologica",18
"81","Controlli Interni Sistema Qualità","Listeria monocytogenes","MPN",9
"82","Controlli Interni Sistema Qualità","Listeria monocytogenes","PCR Real Time",6
"83","Controlli Interni Sistema Qualità","Listeria spp.","Microbiologica",1
"84","Controlli Interni Sistema Qualità","Microrganismi","Microbiologica a 30°C",159
"85","Controlli Interni Sistema Qualità","Microrganismi acqua","Microbiologica a 22°C",20
"86","Controlli Interni Sistema Qualità","Microrganismi acqua","Microbiologica a 36°C",9
"87","Controlli Interni Sistema Qualità","Muffe","Microbiologica",2
"88","Controlli Interni Sistema Qualità","Note alle prove","Multipla",0
"89","Controlli Interni Sistema Qualità","pH","Potenziometrico",10
"90","Controlli Interni Sistema Qualità","Pseudomonas spp.","Microbiologica",1
"91","Controlli Interni Sistema Qualità","Pseudomonas spp. presunto","Microbiologica",1
"92","Controlli Interni Sistema Qualità","Salmonella spp.","Microbiologica",9
"93","Controlli Interni Sistema Qualità","Salmonella spp.","PCR Real Time",7
"94","Controlli Interni Sistema Qualità","Sostanze inibenti","Kit pronto uso",80
"95","Controlli Interni Sistema Qualità","Sostanze inibenti Penicillina/Sulfamidico","Kit+ P.asi e PABA",1
"96","Controlli Interni Sistema Qualità","Stafilococchi coagulasi-positivi","Microbiologica a 37°C",42
"97","Controlli Interni Sistema Qualità","Taylorella equigenitalis/CEM: agente eziologico","Microbiologica",12
"98","Controlli Interni Sistema Qualità","Trichinella","Microscopica (digestione artificiale)",4
"99","Sanità Animale","Acari della Rogna","Microscopica a fresco KOH",3
"100","Sanità Animale","Agalassia contagiosa da Myc.agalactiae: anticorpi","ELISA (kit IDEXX)",4290
"101","Sanità Animale","Antibiogramma","Diffusione in agar",432
"102","Sanità Animale","BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte","ELISA competitiva (kit IDEXX )",1750
"103","Sanità Animale","BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus","ELISA competitiva (kit IDEXX )",28057
"104","Sanità Animale","Brucella abortus/melitensis/suis: anticorpi","ELISA competitiva (kit SVANOVIR)",68
"105","Sanità Animale","Brucella abortus/melitensis: anticorpi","FdC",44792
"106","Sanità Animale","Brucella abortus/melitensis: anticorpi","SAR",722
"107","Sanità Animale","Brucella abortus/melitensis: anticorpi nel latte di bovino","ELISA (kit ID VET)",1529
"108","Sanità Animale","Brucella spp.: agente eziologico","Microbiologica",35
"109","Sanità Animale","Brucellosi da B. abortus/melitensis: anticorpi","FdC",8
"110","Sanità Animale","BVD: anticorpi anti-NS2-3","ELISA (kit IZS-BS)",1312
"111","Sanità Animale","Campylobacter termotolleranti","Microbiologica",3
"112","Sanità Animale","Dermatofiti/Saprolegnia spp.: agente eziologico","Microbiologica",5
"113","Sanità Animale","Esame anatomopatologico animali di taglia grande","Anatomopatologica",3
"114","Sanità Animale","Esame anatomopatologico animali di taglia medio-grande","Anatomopatologica",70
"115","Sanità Animale","Esame anatomopatologico animali di taglia medio-piccola","Anatomopatologica",220
"116","Sanità Animale","Esame anatomopatologico animali piccola taglia (all.industriali)","Anatomopatologica",3065
"117","Sanità Animale","Esame batteriologico","Microbiologica",534
"118","Sanità Animale","Esame batteriologico latte (1 terreno colturale)","Microbiologica",267
"119","Sanità Animale","Esame batteriologico latte (agar globuli esculina + BP/RPF)","Microbiologica",1
"120","Sanità Animale","Esame batteriologico latte (agar globuli esculina)","Microbiologica",731
"121","Sanità Animale","Esame batteriologico latte (agar sangue)","Microbiologica",536
"122","Sanità Animale","Esame batteriologico latte (ricerca Stafilococco coagulasi +)","Microbiologica (Baird Parker + RPF modificato)",1710
"123","Sanità Animale","Esame batteriologico latte (ricerca Streptococcus agalactiae)","Microbiologica (TKT)",2036
"124","Sanità Animale","Esame batteriologico latte (terreno enterobatteri)","Microbiologica",1
"125","Sanità Animale","Esame ispettivo","Ispettiva",35
"126","Sanità Animale","Esame parassitologico","Microscopica a fresco",30
"127","Sanità Animale","Esame parassitologico","Microscopica dopo flottazione",115
"128","Sanità Animale","Esame parassitologico","Microscopica dopo sedimentazione",16
"129","Sanità Animale","Esame parassitologico con conta","Microscopica (tecnica di Mc Master)",444
"130","Sanità Animale","Febbre Q da Coxiella burnetii: anticorpi","ELISA (kit ID VET)",641
"131","Sanità Animale","Invio ad altri laboratori","Multipla",0
"132","Sanità Animale","Larve di parassiti","Microscopica (tecnica di Baerman)",223
"133","Sanità Animale","Leucosi Bovina Enzootica: anticorpi","ELISA (kit IZS-BS)",29569
"134","Sanità Animale","Motivazione di inidoneità campione","Multipla",0
"135","Sanità Animale","Motivi di mancata esecuzione di prove richieste","Multipla",0
"136","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA conferma (kit ID VET)",65
"137","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA conferma (kit IDEXX)",502
"138","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA screening (kit ID VET)",2449
"139","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA screening (kit IDEXX)",29115
"140","Sanità Animale","Mycoplasma spp. (latte): agente eziologico","Microbiologica",4
"141","Sanità Animale","Mycoplasma spp. (mammiferi): agente eziologico","Microbiologica",3
"142","Sanità Animale","Neospora caninum: anticorpi","ELISA (kit ID VET)",3758
"143","Sanità Animale","Note alle prove","Multipla",0
"144","Sanità Animale","Oocisti di Cryptosporidium: agente eziologico","Microscopica",84
"145","Sanità Animale","Prototheca spp.","Microbiologica",213
"146","Sanità Animale","Prototheca spp. campioni latte","Microbiologica",18
"147","Sanità Animale","Salmonella spp.","Microbiologica",177
"148","Sanità Animale","Salmonella spp. in pool","Microbiologica",21
"149","Sanità Animale","Sostanze inibenti","Kit pronto uso",5
"150","Sanità Animale","Sostanze inibenti","Microbiologica B. subtilis",58
"151","Sanità Animale","Taylorella equigenitalis/CEM: agente eziologico","Microbiologica",246
"152","Sanità Animale","Trichinella","Microscopica (digestione artificiale)",913
